ra,dec,TIC,2mass_id,KIC,Reinhold,McQuillan,Claytor ,Oelkers,Newton 2016,Newton 2018,Bouma,Walkowicz
283.2413322,46.3784691,164457525,18525791+4622424,9632895,,,,,,,,19.98
295.5772681,46.2547028,271774166,19421854+4615170,9597806,,,,,,,18.21,19.98
292.4403029,43.2093456,63284044,19294569+4312339,7609553,,,,,,,20.35,19.98
296.2328099,42.4727965,272183546,19445587+4228220,6964929,,,,,,,17.02,19.98
295.3044942,42.4753193,271537530,19411308+4228310,6960913,,,,,,,,19.98
285.4992845,49.2772713,350813835,19015982+4916384,11391957,,,,,,,18.96,19.72
293.6743322,47.9084727,26961231,19344181+4754304,10670119,,,,,,,19.25,19.72
292.4461832,46.2897548,63289401,19294710+4617231,9589524,,,,,,,22,19.72
289.4110582,46.1308443,159050004,19173865+4607510,9520838,,,,,,,18.7,19.72
289.8844102,45.2115075,159177065,19193225+4512414,8947520,,,,,,,19.39,19.72
293.1713241,45.0655934,275491028,19324112+4503561,8822216,,,,,,,18.22,19.72
295.57423,42.8064255,271760755,19421779+4248231,7295235,,,,,,,20.32,19.72
291.6118842,42.1159787,63005467,19262685+4206574,6690836,,,,,,,21.07,19.72
289.5085612,41.8120234,122066949,19180203+4148436,6435936,,,,,,,19.93,19.72
289.2202147,41.7064385,121943952,19165285+4142233,6356207,,,,,,,18.86,19.72
298.2007268,48.2677925,28450124,19524817+4816042,10879038,,,,,,,,19.21
297.9615616,48.2443363,28357724,19515077+4814397,10878263,,,,,,,18.21,19.21
289.0720752,47.406918,158983792,19161733+4724254,10332883,,,,,,,18.86,19.21
295.4634045,45.8127697,271663670,19415120+4548458,9351920,,,,,,,17.39,19.21
288.4561183,45.8022258,158729099,19134945+4548076,9334893,,,,,,,,19.21
281.3487514,44.2952525,123313142,18452371+4417428,8277797,,,,,,,18.73,19.21
298.0144601,42.9574314,273773509,19520346+4257268,7386827,,,,,,,18.73,19.21
291.2697354,42.0960305,159715997,19250473+4205457,6604328,,,,,,,21.34,19.21
296.6804876,41.3865279,360022783,19464330+4123114,6060203,,,,,,,27.99,19.21
286.4792568,39.2698793,120893436,19055504+3916118,4140813,,,,,,,19.12,19.21
286.5580128,38.4052418,120962548,19061393+3824193,3326377,,,,,,,18.6,19.21
291.9259658,38.0140525,137348863,19274223+3800508,2854698,,,,,,,19.12,19.21
295.6629002,44.5258237,271885110,19423908+4431330,8505920,,,,,,,19.13,19.03
291.6594558,50.5838585,26488618,19263828+5035019,12061969,,,,,,,18.99,18.73
286.2739151,48.6186972,405719252,19050572+4837073,11074178,,,,,,,18.6,18.73
282.9249847,48.6264015,48216453,18514199+4837350,11069176,,,,,,,15.03,18.73
289.3520595,46.9736345,159051188,19172448+4658254,10005788,,,,,,,18.34,18.73
281.4572217,46.7465538,123357476,18454971+4644472,9872283,,,,,,,18.6,18.73
292.5733475,46.3668273,63362238,19301760+4622006,9650989,,,,,,,19.39,18.73
286.5284924,43.8733751,158276273,19060683+4352242,8015907,,,,,,,18.99,18.73
290.889409,42.4596251,159573063,19233343+4227347,6945786,,,,,,,,18.73
295.9383737,49.7911337,27649203,19434521+4947281,11670125,,,,,,,18.21,18.28
288.3724989,47.9335642,158785055,19132940+4756008,10657406,,,,,,,17.84,18.28
296.9588566,46.3940661,272837755,19475012+4623388,9662811,,,,,,,25.37,18.28
287.2566578,46.0667247,158416263,19090160+4604003,9455325,,,,,,,19.25,18.28
295.9065297,45.8090893,272074477,19433757+4548328,9353314,,,,,,,17.59,18.28
299.0770621,45.4405583,268390796,19561850+4526263,9112931,,,,,,,,18.28
292.290606,44.6532281,63209010,19290974+4439117,8561231,,,,,,,21.18,18.28
290.144339,44.0498808,159305424,19203463+4402598,8160953,,,,,,,18.34,18.28
292.1370409,42.4294835,63122956,19283288+4225459,6949607,,,,,,,17.84,18.28
288.2341025,40.520897,121598758,19125618+4031152,5351250,,,,,,,17.35,18.28
284.6157154,39.130998,120315006,18582777+3907517,4035640,,,,,,,18.21,18.28
289.8429062,38.309622,122142813,19192229+3818345,3229150,,,,,,,17.73,18.28
291.1376203,36.5773443,122785299,19243302+3634385,757450,,,,,,,19.12,18.28
298.5891948,40.7506921,171029578,19542140+4045024,5561278,,,,,,,17.69,18.2
293.6137413,47.838938,270695184,19342729+4750204,10604335,,,,,,,18.09,17.84
285.3873706,45.0490265,351910733,19013297+4502565,8804845,,,,,,,17.69,17.84
290.2632874,44.5564051,159304532,19210318+4433232,8490993,,,,,,,18.44,17.84
282.7241098,44.3465098,123497954,18505377+4420473,8346392,,,,,,,17.84,17.84
286.7107166,43.0433585,158317637,19065057+4302364,7430034,,,,,,,18.57,17.84
291.6693437,42.5907441,63004645,19264062+4235265,7033233,,,,,,,17.96,17.84
293.6012911,42.379791,270610053,19342430+4222471,6869184,,,,,,,17.45,17.84
299.3196708,41.3847447,171971913,19571668+4123047,6071903,,,,,,,17.47,17.84
292.2945208,40.5918123,137555411,19291070+4035304,5364071,,,,,,,,17.84
291.049934,39.141674,122716169,19241198+3908300,4055304,,,,,,,17.96,17.84
287.5902594,51.0606047,399955825,19102162+5103380,12301181,,,,,,,,17.72
291.6756005,48.7625419,26493559,19264214+4845452,11137180,,,,,,,17.11,17.43
286.024052,48.431729,405686888,19040576+4825543,10965008,,,,,,,27.57,17.43
286.9994758,48.3757867,399912169,19075987+4822328,10910878,,,,,,,17.62,17.43
297.4868347,46.9966782,273373582,19495680+4659481,10027247,,,,,,,17.47,17.43
297.4015491,46.8239976,273130565,19493637+4649264,9965957,,,,,,,16.99,17.43
288.7389481,46.7625929,158838045,19145735+4645452,9884104,,,,,,,16.54,17.43
282.4506927,46.3213671,123492903,18494814+4619170,9631762,,,,,,,20.49,17.43
290.9536059,45.7195545,159581434,19234885+4543103,9278725,,,,,,,16.64,17.43
285.8032016,44.8733983,279913214,19031277+4452243,8676148,,,,,,,17.11,17.43
