file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,ref_period,period_agree,power_and_agree,double_dipper,true_period_d
tess2019169103026-s0013-0000000299798795-0146-s_lc.fits,299798795,13,slow,1.224550239,0.47477254,1.06470287,1.224550239,0.612562831,1.449217585,1.068157033,1.797283039,0.47477254,0.037486145,0.009516493,0.006631982,0.006433841,TRUE,1.235249701,TRUE,TRUE,FALSE,1.224550239
tess2019169103026-s0013-0000000320004517-0146-s_lc.fits,320004517,13,slow,8.826171776,0.18726648,0.12352347,8.826171776,5.89742466,3.544869725,4.16843458,1.892999484,0.18726648,0.05721803,0.019389141,0.014521161,0.004899972,TRUE,8.826171776,TRUE,TRUE,FALSE,8.826171776
tess2019169103026-s0013-0000000354944123-0146-s_lc.fits,354944123,13,slow,7.440520877,0.128452774,0.57741642,7.440520877,5.058205084,14.06473753,3.37650405,2.405408308,0.128452774,0.110576157,0.022193227,0.016402467,0.00489688,TRUE,7.237486383,TRUE,TRUE,FALSE,7.440520877
tess2019169103026-s0013-0000000391903064-0146-s_lc.fits,391903064,13,slow,3.376457744,0.902078047,4.00581658,3.376457744,4.049653626,1.670554032,2.895176805,4.72215348,0.902078047,0.082815546,0.061579893,0.057306834,0.02102508,TRUE,3.354253434,TRUE,TRUE,FALSE,3.376457744
tess2019198215352-s0014-0000000028230919-0150-s_lc.fits,28230919,14,slow,10.55973771,0.124076753,0.15703142,10.55973771,4.370681189,5.910228654,3.142717749,1.246201291,0.124076753,0.041343291,0.034905273,0.012662634,0.004589472,TRUE,10.7151709,TRUE,TRUE,FALSE,10.55973771
tess2019198215352-s0014-0000000122784501-0150-s_lc.fits,122784501,14,slow,8.544123258,0.400326519,1.77067876,8.544123258,5.432449604,4.103916152,15.40887395,2.596070508,0.400326519,0.216014398,0.206685763,0.135019286,0.043668673,TRUE,8.502723537,TRUE,TRUE,FALSE,8.544123258
tess2019198215352-s0014-0000000142276270-0150-s_lc.fits,142276270,14,slow,8.432371225,0.856753768,1.93840861,8.432371225,15.32746598,5.816021143,4.157494945,2.75886188,0.856753768,0.105343851,0.063947665,0.045420068,0.017862227,TRUE,8.974004573,TRUE,TRUE,FALSE,8.432371225
tess2019198215352-s0014-0000000154872375-0150-s_lc.fits,154872375,14,slow,5.221258879,0.867519348,1.0509479,5.221258879,7.174423779,4.103989035,2.49945389,9.790418844,0.867519348,0.066552954,0.065796138,0.031117698,0.025089375,TRUE,5.221258879,TRUE,TRUE,FALSE,5.221258879
tess2019198215352-s0014-0000000160045097-0150-s_lc.fits,160045097,14,slow,5.910832551,0.312989044,0.79155743,5.910832551,11.46210197,4.371176581,3.38054128,3.002510256,0.312989044,0.166663513,0.040515986,0.008166797,0.004633239,TRUE,5.862727288,TRUE,TRUE,TRUE,11.46210197
tess2019198215352-s0014-0000000164457525-0150-s_lc.fits,164457525,14,slow,6.481555803,0.054302628,1.75161779,6.481555803,9.124851398,4.675633295,3.297489516,2.700508075,0.054302628,0.039202396,0.014744438,0.010507123,0.007070052,TRUE,6.481555803,TRUE,TRUE,FALSE,6.481555803
tess2019198215352-s0014-0000000169081296-0150-s_lc.fits,169081296,14,slow,6.810415163,0.145584803,0.38333237,6.810415163,10.56048937,15.40890761,3.75919861,2.453742946,0.145584803,0.122941554,0.059394223,0.044924945,0.040998756,TRUE,6.810415163,TRUE,TRUE,FALSE,6.810415163
tess2019198215352-s0014-0000000202426247-0150-s_lc.fits,202426247,14,slow,4.371119209,0.748615915,2.30189979,4.371119209,2.211203988,3.559771821,5.661493471,2.499376477,0.748615915,0.207576107,0.103001306,0.085296936,0.04602509,TRUE,4.484155081,TRUE,TRUE,FALSE,4.371119209
tess2019198215352-s0014-0000000293954617-0150-s_lc.fits,293954617,14,slow,9.79040292,0.257803242,0.21425605,9.79040292,5.432525411,4.518346312,2.596113788,3.218495161,0.257803242,0.170163776,0.100027797,0.022453032,0.01388017,TRUE,9.945605412,TRUE,TRUE,FALSE,9.79040292
tess2019198215352-s0014-0000000299158887-0150-s_lc.fits,299158887,14,slow,5.43247272,0.898722474,1.91038549,5.43247272,7.579392222,4.233345861,3.143107505,3.656792099,0.898722474,0.098793568,0.088888133,0.033967176,0.014999997,TRUE,5.43247272,TRUE,TRUE,FALSE,5.43247272
tess2019226182529-s0015-0000000016740101-0151-s_lc.fits,16740101,15,slow,3.408410281,0.088571447,0.13060927,3.408410281,4.300262714,0.316261595,2.8229458,1.958073288,0.088571447,0.047422505,0.030732424,0.02970157,0.029605266,TRUE,3.408410281,TRUE,TRUE,FALSE,3.408410281
tess2019226182529-s0015-0000000063368895-0151-s_lc.fits,63368895,15,slow,6.674168441,0.425176491,0.5303818,6.674168441,11.31264049,3.471505118,4.911910559,2.304323092,0.425176491,0.139334296,0.065054192,0.022205874,0.020704169,TRUE,6.674168441,TRUE,TRUE,FALSE,6.674168441
tess2019226182529-s0015-0000000142276270-0151-s_lc.fits,142276270,15,slow,8.974004573,0.949729436,2.57579446,8.974004573,4.132606458,6.053751657,2.99286953,4.912015248,0.949729436,0.027881332,0.021496123,0.006445763,0.005435715,TRUE,8.974004573,TRUE,TRUE,FALSE,8.974004573
tess2019226182529-s0015-0000000142394656-0151-s_lc.fits,142394656,15,slow,10.97490229,0.277064243,0.52577198,10.97490229,5.507385822,1.958824627,3.034022066,1.396462475,0.277064243,0.216816653,0.038734414,0.018550772,0.011728236,TRUE,10.71521169,TRUE,TRUE,FALSE,10.97490229
tess2019226182529-s0015-0000000169461816-0151-s_lc.fits,169461816,15,slow,0.090776488,0.064186537,0.56623816,0.090776488,7.886858547,2.26426049,15.30019616,4.567356457,0.064186537,0.009527131,0.007359387,0.006060465,0.005774769,TRUE,0.090782543,TRUE,TRUE,FALSE,0.090776488
