file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,period_agree,ref_period,power_and_agree,double_dipper
tess2020133194932-s0025-0000000408618999-0182-s_lc.fits,408618999,25,slow,7.818280044,0.002778896439,0.12457967,7.818280044,2.40294945,1.17312331,3.175830585,1.435514048,0.002778896439,0.002576834827,0.002293797784,0.002169599152,0.002134548444,FALSE,FALSE,10.50727817,FALSE,TRUE
tess2020186164531-s0027-0000000299798795-0189-a_fast-lc.fits,299798795,27,fast,1.229399918,0.3858336395,2.22534835,1.229399918,0.6149827507,1.049370675,1.689842099,1.483992567,0.3858336395,0.0756187448,0.01392555866,0.007769742115,0.007539624312,TRUE,TRUE,1.228666162,TRUE,FALSE
tess2020186164531-s0027-0000000299798795-0189-s_lc.fits,299798795,27,slow,1.22521169,0.62887909,1.79965198,1.22521169,0.6154085368,1.508413046,1.040680825,1.730652738,0.62887909,0.1079507017,0.02715866494,0.01292094451,0.01205971804,TRUE,TRUE,1.228666162,TRUE,FALSE
tess2020186164531-s0027-0000000299799658-0189-a_fast-lc.fits,299799658,27,fast,8.64536327,0.09352194144,0.51330626,8.64536327,2.384428059,2.964705685,4.048471243,1.930907521,0.09352194144,0.007941663269,0.007123731021,0.005750157543,0.001423197866,TRUE,TRUE,8.64536327,TRUE,FALSE
tess2020186164531-s0027-0000000299799658-0189-s_lc.fits,299799658,27,slow,3.375190407,0.00460648021,0.20930767,3.375190407,7.12745608,5.056436181,1.788979809,0.121558643,0.00460648021,0.002822465001,0.002097644229,0.001281496073,0.001228657145,FALSE,FALSE,8.64536327,FALSE,TRUE
tess2020212050318-s0028-0000000299798795-0190-a_fast-lc.fits,299798795,28,fast,1.233352225,0.3605365557,2.20279694,1.233352225,0.6164024666,1.499043546,1.038466816,1.910636966,0.3605365557,0.07474501909,0.0218153155,0.01912899086,0.004749721701,TRUE,TRUE,1.228666162,TRUE,FALSE
tess2020212050318-s0028-0000000299798795-0190-s_lc.fits,299798795,28,slow,1.233488096,0.6353865126,1.82867408,1.233488096,0.6164726042,1.499206348,1.038582405,1.716748936,0.6353865126,0.1217660357,0.03912518589,0.02958427826,0.01083009583,TRUE,TRUE,1.228666162,TRUE,FALSE
tess2020212050318-s0028-0000000299799658-0190-a_fast-lc.fits,299799658,28,fast,3.215176734,0.01337104301,0.45390606,3.215176734,4.961231912,2.702951096,3.96693499,2.331507203,0.01337104301,0.004942468507,0.00427692335,0.002620670445,0.00166593379,FALSE,FALSE,8.64536327,FALSE,FALSE
tess2020212050318-s0028-0000000299799658-0190-s_lc.fits,299799658,28,slow,10.84546512,0.01200692124,0.20208061,10.84546512,4.753374522,6.609793903,3.831092019,1.173868338,0.01200692124,0.005893834662,0.005276773199,0.00381893458,0.002166272531,FALSE,FALSE,8.64536327,FALSE,FALSE
tess2020212050318-s0028-0000000394357918-0190-s_lc.fits,394357918,28,slow,0.2125679317,0.00134464764,4.2858839,0.2125679317,2.715018375,2.33347917,0.05442176254,0.09482258643,0.00134464764,0.001055326122,0.001048624115,0.0008910062138,0.0008774054162,FALSE,FALSE,6.419231756,FALSE,TRUE
