ticid,periods
138105005,9.601176676
138219367,0.150223193
138219428,0.150223193
138364751,4.656140169
138433618,6.1172103
138433618,5.870210915
138433618,6.159783684
138433618,6.146974042
138433618,6.022505804
138477646,9.741472954
138477646,10.443834
138477646,9.848097605
138477646,9.748031983
138477646,9.601538318
138477646,9.601180747
138888759,3.705706824
138960099,0.319080269
138969239,11.43538684
139036554,4.853770199
139106013,12.50652243
139106731,4.07213809
139106731,3.903664937
139106731,7.851601527
140691463,9.846591377
142276270,8.432371225
142276270,8.974004573
142276270,8.633870761
142276270,8.520233653
142276270,9.076809513
142276270,8.410174978
142276270,8.926019174
142381532,6.316580797
142387023,9.945935594
142387023,9.945684882
142387023,9.167134608
142387023,9.832488745
142394656,10.97490229
142394656,10.65170637
142394656,10.71521169
142394656,10.60249525
142748283,4.415037305
142748283,4.339547383
142937186,11.19505845
144065872,9.312074307
144065872,9.990756686
144401492,6.550896935
146520535,3.447969224
148673433,10.39723988
149603524,7.330194503
149603524,7.129573085
149918151,12.67682294
150030205,12.54388516
150151262,12.29972889
150151262,12.27598239
150151262,12.18983251
150151262,11.97407433
150151262,12.4764811
150151262,12.44654775
150151262,11.84816584
151825527,9.065576697
151825527,9.760540595
151825527,9.760020499
154089169,12.61755084
154089169,13.52561493
154089169,12.95807256
154872375,5.221258879
154872375,5.59826018
154872375,4.950804916
154872375,4.930571845
154872375,5.026748124
154872375,5.592129079
154872375,5.151853023
154872375,4.962855843
154872375,4.990800259
154872375,5.005529698
154872375,5.005236945
157910432,11.02747746
158002130,8.696428617
158167159,8.470324296
158167159,8.502454158
158213683,0.573903269
158213683,0.573545248
158213683,0.574820193
158213683,0.574634497
158213683,0.575868374
158215347,9.050013872
158241252,11.10755064
158270511,4.789161836
158270568,7.960431204
158270841,4.621777738
158316612,4.789164522
158320130,3.275285465
158320130,3.439921296
158320130,3.446262876
158320130,3.401325194
158320130,3.329455928
158320130,3.36526421
158320130,3.383997341
158320130,3.338337507
158320130,3.443656679
158320130,3.360660633
158322085,10.71522949
158324326,7.508442152
158325998,9.05001709
158389981,0.196366926
158389981,0.196473259
158389981,0.19632661
158389981,0.1963167
158389981,0.196311776
158389981,0.196438213
158389981,0.19630732
158393923,8.470329766
158394286,7.508442501
158426969,4.621782644
158432813,4.621782791
158433884,4.621782752
158486842,4.969129302
158487005,4.789165861
158551888,4.65579273
158555987,1.271426403
158555987,1.259849452
158625100,5.627260793
158631520,1.103019245
158631520,1.088397037
158631520,1.091108373
158631520,1.087377726
158631520,1.091150657
158657354,4.691332498
158657354,4.886927796
158660814,4.655972866
158722002,7.105028566
158786851,5.621963721
158792743,0.539689756
158792743,0.539795706
158837572,0.172722188
158837572,0.17293391
158840828,6.457724024
158989438,9.748017241
159050852,10.0356475
159050852,9.763080167
159050852,8.937358429
159102744,0.188209672
159174926,10.8041711
159225367,6.785921221
159376971,11.3885057
159379942,12.46130932
159418353,9.566208243
159418353,10.47326806
159418353,8.660501082
159418353,8.768352277
159418353,9.098224423
159418353,9.94553385
159418353,9.175405642
159440697,10.71522167
159440697,10.48519385
159440697,9.748025404
159580535,9.082902858
159721015,1.20299227
159721015,1.159623123
159725995,4.141015752
159873822,7.942429471
159873822,7.922273179
159873822,8.115490073
160045097,11.46210197
160045097,5.862727288
160045097,5.393896133
160045097,12.19158584
160045097,6.041129227
160045097,9.945604998
160708862,0.184718984
162689341,1.79851176
164457525,6.481555803
164464070,15.1489095
164525250,8.768434273
164646661,6.415595119
164652245,8.768440574
164654277,7.469582394
164654277,7.992214547
164654277,7.851585899
164721759,8.006737327
164723619,8.768439751
164780824,0.266816735
164780824,0.266813434
164832454,13.51041084
164886497,11.10762041
164886812,5.373566952
164886812,5.340392645
164886812,5.556343099
164886812,5.37291942
164886812,5.399005672
166527623,1.420797565
166527623,1.421451962
166527623,1.418048234
166836920,10.93180007
168811794,8.93736453
169081296,6.810415163
169226822,10.96674985
169459324,3.650469771
169461816,0.090776488
169461816,0.090782543
169560572,7.317931044
169560572,3.535137197
169560572,3.5450061
170344769,10.61807863
170344769,9.748061078
170344769,9.601208203
171510762,0.148599621
171510762,0.148624239
171510762,0.148627704
171510762,0.14866914
171971913,8.50278464
171971913,8.937376187
171972797,8.35939513
172900988,11.30069874
175193677,8.645569473
175193677,7.849432906
175193677,8.036615497
175193677,8.461007029
175193677,8.451848793
175262071,5.780968749
175262071,5.752323597
175262071,5.895813357
175265494,5.118884325
176868951,3.536293952
176868951,3.647143094
178155732,3.088487427
178284730,9.5188994
178289267,11.19515773
178367144,4.75766703
178367144,4.752623402
178367144,5.094866087
179034327,12.29207951
180695581,8.539648019
180695581,8.585958344
180695581,8.507388849
183532609,7.676026793
183532609,8.175207436
183532609,8.009617454
183532609,13.3250889
184164097,0.588990431
184240683,8.000826424
184471242,0.346116171
185062313,3.631596352
187960878,0.63832283
188768068,9.721948073
188768068,8.785254195
188768068,8.768638454
188768068,9.098309894
188768068,9.71474532
190998418,8.986603065
192415680,11.92516217
192790476,6.009037182
192790476,5.752196377
192790476,5.818934981
192790476,5.805500019
194795551,11.0905516
198008005,6.311114281
198008005,6.218398233
198153540,4.875510313
198385543,11.79663584
198390247,3.54262381
198588220,5.355282749
200322593,0.725610652
200322593,0.72711287
200322593,0.72843209
200322593,0.725075104
200322593,0.728883882
200723869,5.051911748
201248411,6.068934604
201248411,5.907157248
201248411,5.903225158
201248411,5.90486782
201248411,5.706893993
201248411,5.697682368
201604954,0.631606437
201604954,0.630630102
201604954,0.632136073
202426247,4.371119209
202426247,4.482335977
202426247,4.527798285
202426247,4.434067064
202426247,4.481311182
202426247,4.522819407
202426247,4.484155081
202426247,4.372610847
202426247,4.51632837
202426247,4.438047339
202426247,4.478445777
202426247,4.478271498
202426247,4.674533435
207141131,8.400430568
207141131,8.750099579
207141131,8.634904874
207141131,8.470395691
207141131,8.982100104
207141131,8.611374402
207141131,8.602595099
207141131,8.761906695
207141131,8.662932992
207468071,13.43961301
219344917,12.41177002
219852882,10.97603142
219852882,11.0846538
219852882,10.8048498
219852882,10.80456437
219852882,10.44578741
219852882,10.44534718
219852882,11.0271523
219852882,10.09084267
219852882,10.20075416
219852882,10.74832704
219852882,10.90238581
219852882,10.90218623
219852882,11.43522363
219852882,9.832540889
219852882,10.61298439
219852882,11.38391512
219852882,10.5143333
220323515,9.598600235
221861843,12.17360713
224225541,3.822072561
224225541,3.802507375
224225541,3.774835638
224225541,3.779199808
229510866,6.518638525
229650439,10.53326599
229747848,8.525640426
229747848,7.22952704
229747848,13.40430292
229747848,7.920979404
229747848,7.634298628
229747848,8.088632359
229747848,8.214626656
229747848,8.046738559
229747848,7.176834779
229747848,8.18262936
229747848,8.585856953
229747848,8.359844772
229747848,8.359496269
229747848,7.832717499
229791084,10.12763533
230001847,6.936720175
230741378,0.084482962
231663901,9.927337133
232568235,8.851618594
232568235,8.477202892
232568235,8.325318224
232941965,9.279199332
233087860,10.75526321
233087860,9.549565394
233087860,5.706289902
233087860,9.737037393
234994474,8.08039128
234994474,8.649412129
235678745,4.591954467
235683377,7.240251442
236887394,6.219181875
236887394,12.28736612
237104103,4.875434439
237222864,10.90239605
239225129,10.51828713
239332587,4.95929556
239977528,6.607444054
240823272,9.046995705
243921117,11.34749309
245392284,6.579091312
248853232,9.748365722
248853232,9.747844375
248853232,10.24744038
254113311,13.35276617
255930614,3.707532748
256364928,10.44385343
256364928,11.42101277
256364928,11.42067202
256722647,5.817918296
257060897,13.85866755
257605131,5.029891401
257605131,5.220050723
258349285,8.502688736
258514800,8.541524216
258920431,11.14292896
259172249,4.465699929
259506033,11.40995198
260004324,11.77116071
260128333,14.88861188
260708537,10.86420071
261136679,5.671697311
261257684,8.518263585
261257684,8.04093399
261257684,8.004732134
262530407,9.068174821
262530407,9.156967241
262530407,9.25351321
262715204,10.90260607
